Unnamed: 0,Time,y
429,30/6/2014,6.408099999999999
430,1/7/2014,6.5088
431,2/7/2014,6.4516
432,3/7/2014,6.306900000000001
433,4/7/2014,6.3146
434,5/7/2014,6.358099999999999
435,6/7/2014,6.2409
436,7/7/2014,6.248200000000001
437,8/7/2014,6.2451
438,9/7/2014,6.1676
439,10/7/2014,6.32
440,11/7/2014,6.3371
441,12/7/2014,6.265
442,13/7/2014,6.193200000000001
443,14/7/2014,6.2159
444,15/7/2014,6.167999999999999
445,16/7/2014,6.2309
446,17/7/2014,6.2878
447,18/7/2014,6.2851
448,19/7/2014,6.239
449,20/7/2014,6.2221
450,21/7/2014,6.2155
451,22/7/2014,6.1941
452,23/7/2014,6.0173000000000005
453,24/7/2014,6.0109
454,25/7/2014,5.958099999999999
455,26/7/2014,5.9385
456,27/7/2014,5.8569
457,28/7/2014,5.847300000000001
458,29/7/2014,5.672899999999999
459,30/7/2014,5.8624
460,31/7/2014,5.949199999999999
461,1/8/2014,5.8933
462,2/8/2014,5.8667
463,3/8/2014,5.8877999999999995
464,4/8/2014,5.854400000000001
465,5/8/2014,5.8465
466,6/8/2014,5.8887
467,7/8/2014,5.925800000000001
468,8/8/2014,5.8937
469,9/8/2014,5.9106
470,10/8/2014,5.7637
471,11/8/2014,5.6964
472,12/8/2014,5.4666
473,13/8/2014,5.0597
474,14/8/2014,4.9700999999999995
475,15/8/2014,5.197100000000001
476,16/8/2014,4.918
477,17/8/2014,4.614599999999999
478,18/8/2014,4.8525
479,19/8/2014,5.119800000000001
480,20/8/2014,5.1724
481,21/8/2014,5.1404
482,22/8/2014,4.9807
483,23/8/2014,5.0829
484,24/8/2014,5.025
485,25/8/2014,5.1157
486,26/8/2014,5.1114999999999995
487,27/8/2014,5.0781
488,28/8/2014,5.0851999999999995
489,29/8/2014,5.0425
490,30/8/2014,4.7776
491,31/8/2014,4.7488
492,1/9/2014,4.7743
493,2/9/2014,4.7759
494,3/9/2014,4.8966
495,4/9/2014,4.8334
496,5/9/2014,4.8483
497,6/9/2014,4.8228
498,7/9/2014,4.746
499,8/9/2014,4.7526
500,9/9/2014,4.7936000000000005
501,10/9/2014,4.7975
502,11/9/2014,4.7775
503,12/9/2014,4.79
504,13/9/2014,4.7789
505,14/9/2014,4.7537
506,15/9/2014,4.6606
507,16/9/2014,4.5733
508,17/9/2014,4.2444
509,18/9/2014,3.948
510,19/9/2014,4.0889999999999995
511,20/9/2014,3.9882
512,21/9/2014,4.0215
513,22/9/2014,4.3579
514,23/9/2014,4.232
515,24/9/2014,4.1157
516,25/9/2014,4.0443
517,26/9/2014,3.9951999999999996
518,27/9/2014,3.7718000000000003
519,28/9/2014,3.7547
520,29/9/2014,3.8694
521,30/9/2014,3.8362
522,1/10/2014,3.7507
523,2/10/2014,3.5951
524,3/10/2014,3.2887
525,4/10/2014,3.2051
526,5/10/2014,3.3007999999999997
527,6/10/2014,3.3619
528,7/10/2014,3.5294
529,8/10/2014,3.6502999999999997
530,9/10/2014,3.6156
531,10/10/2014,3.623
532,11/10/2014,3.7855000000000003
533,12/10/2014,3.9041
534,13/10/2014,4.0087
535,14/10/2014,3.9476999999999998
536,15/10/2014,3.8256
537,16/10/2014,3.8376
538,17/10/2014,3.9144
539,18/10/2014,3.8955
540,19/10/2014,3.8285
541,20/10/2014,3.8648000000000002
542,21/10/2014,3.8316000000000003
543,22/10/2014,3.5842
544,23/10/2014,3.5835000000000004
545,24/10/2014,3.4726999999999997
546,25/10/2014,3.5469999999999997
547,26/10/2014,3.5299
548,27/10/2014,3.5762
549,28/10/2014,3.3558999999999997
550,29/10/2014,3.4531
551,30/10/2014,3.3832
552,31/10/2014,3.2575
553,1/11/2014,3.2588999999999997
554,2/11/2014,3.2755
555,3/11/2014,3.3049
556,4/11/2014,3.3949000000000003
557,5/11/2014,3.4929
558,6/11/2014,3.4242000000000004
559,7/11/2014,3.4549000000000003
560,8/11/2014,3.6326
561,9/11/2014,3.6692
562,10/11/2014,3.6769
563,11/11/2014,4.2356
564,12/11/2014,4.2074
565,13/11/2014,3.9781999999999997
566,14/11/2014,3.7613
567,15/11/2014,3.8788
568,16/11/2014,3.8741000000000003
569,17/11/2014,3.752
570,18/11/2014,3.8056
571,19/11/2014,3.5784
572,20/11/2014,3.5085
